program_id,program_name,description,launch_year
1,Technovation Challenge,Technovation Challenge programme,2015
2,Mombasa Girls in STEM,TechWomen Kenya alumnae partnership project,2016
3,Django Girls Mombasa,Django Girls workshops,2017
4,STEM Cafe Kenya,Multi-region STEM outreach programme,2019
5,CodeHack,CodeHack programme,2020
6,AjiraForShe,AjiraForShe apprenticeship programme,2024
7,CodeHack Women in Tech Accelerator,"Advanced CodeHack track: AI/ML, Cybersecurity, Data Science, Flutter, Backend",2025
8,Africa Code Week,Africa Code Week teachers training activities,2017
9,Coders at American Spaces,Coding sessions in partnership with American Spaces Kenya,2021
10,3D Design & Printing,3D design and printing skills training,2021
11,STEM Conference,STEM conference event,2021
12,Tech Camp Nairobi,Nairobi-based tech camp,2021
13,Girls Learn Through Technology,Girls Learn Through Technology programme,2021
14,Eskills for Girls Workshop,"Eskills for Girls Workshop, supported by #eskills4girls",2021
15,Community Workshop,General community coding workshops,2021
16,Flutter Mobile Development Sessions,Flutter mobile app development training sessions,2021
